gene	genetic_priority_level	twas_proxy_level	reporting_group	claim_strength_level	curated_exemplar_flag	biological_role_label	source_category	magma_rank	magma_p	magma_fdr	bonferroni_significant	gwas_locus	lead_snp	twas_fdr	twas_reference_tissue	twas_model_snp_count	twas_interpretation	smr_status	coloc_status	known_kidney_transport_or_calcium_gene	allowed_claim	disallowed_claim	overclaim_risk	decision_rule_applied	decision_notes	dominant_scrna_compartment	loop_tal_expression_detected	loop_tal_detection_fraction	loop_tal_mean_expression	scrna_detected	snrna_context_label	stage4B1_claim_modifier	stage4B1_notes	random_benchmark_support	driver_removal_relevance	driver_removal_support	loop_tal_context_final_support	stage4B2_claim_modifier	stage4B2_notes
ATG16L1	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	65	1.5922e-07	4.2416208e-05	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.	""				FALSE	not_detected	not_resolved	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
ATP6V1G2	G1_MAGMA_Bonferroni	T0_no_TWAS_FDR_support	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	81	1.1882e-06	0.000254010755555556	yes	NA_not_found	NA_not_found	0.819162150220141	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. No FDR-supported Kidney_Cortex proxy TWAS support. SMR/coloc remains unsupported; missing evidence is not negative evidence.	""				FALSE	not_detected	not_resolved	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
BAG6	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	75	6.8111e-07	0.0001572546768	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.	""				FALSE	not_detected	not_resolved	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
BNIP1	G1_MAGMA_Bonferroni	T0_no_TWAS_FDR_support	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	68	2.6597e-07	6.77284782352941e-05	yes	""	""	0.163098348511685	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. No FDR-supported Kidney_Cortex proxy TWAS support. SMR/coloc remains unsupported; missing evidence is not negative evidence.	""				FALSE	not_detected	not_resolved	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
C19orf48P	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	36	8.4939e-09	4.0855659e-06	yes	KSD_L028;KSD_L029	""	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.	""	FALSE	0		FALSE	not_detected	not_resolved	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
C6orf48	G4_no_MAGMA_support	T2_one_snp_Kidney_Cortex_proxy	R5_TWAS_proxy_only	claim_3_contextual_or_supplementary	no	not_curated_exemplar	TWAS_FDR	NA_not_found	NA_not_found	NA_not_found	no	NA_not_found	NA_not_found	0.000154176815038531	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	supplementary Kidney_Cortex proxy TWAS signal	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_5_twas_proxy_only	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.	""				FALSE	not_detected	not_resolved	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
CASR	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	yes	calcium sensing	current_curated_exemplar;MAGMA;coloc_resource_row	10	1.0453e-12	1.81004148e-09	yes	KSD_L039	rs2202126	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	yes	MAGMA-prioritized gene; curated biological exemplar for role-spectrum interpretation	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_exemplar_status_is_treated_as_priority_evidence	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence. Curated exemplar flag retained but does not upgrade genetic or TWAS level.	Loop_of_Henle_TAL	TRUE	0.0648148148148148	0.102838558654342	TRUE	Loop/TAL-associated	supports_loop_tal_context	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	known_transport_or_calcium_or_TAL_marker	robust	moderate_context_support	supports_robust_loop_tal_context	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
CDK12	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA;coloc_resource_row	29	1.8139e-09	1.08308594482759e-06	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027	""	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.	Pericyte_smooth_muscle	TRUE	0.233333333333333	0.293957687562058	TRUE	Loop/TAL-associated	supports_loop_tal_context	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	moderate_context_support	supports_robust_loop_tal_context	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
CFDP1	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	91	1.9537e-06	0.0003717612	yes	""	""	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.	""				FALSE	not_detected	not_resolved	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
CHAC1	G3_MAGMA_suggestive_or_module	T1_multi_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	1606	0.029129	0.314070836861768	no	NA_not_found	NA_not_found	0.0365693698553539	GTEx_v8_Kidney_Cortex	2	stronger_proxy_support	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is multi-SNP Kidney_Cortex proxy support only. SMR/coloc remains unsupported; missing evidence is not negative evidence.	""				FALSE	not_detected	not_resolved	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
CHAF1B	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA;coloc_resource_row	5	9.9198e-14	3.435425136e-10	yes	KSD_L035	""	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.	Collecting_duct_principal	TRUE	0.0148148148148148	0.0193642874942928	TRUE	broader_epithelial	supports_broader_epithelial_context	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
CLDN10	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	yes	epithelial transport / TAL tight-junction biology	current_curated_exemplar;MAGMA;coloc_resource_row	19	1.0033e-10	9.14375936842105e-08	yes	KSD_L012;KSD_L013	""	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	yes	MAGMA-prioritized gene; curated biological exemplar for role-spectrum interpretation	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_exemplar_status_is_treated_as_priority_evidence	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence. Curated exemplar flag retained but does not upgrade genetic or TWAS level.	Pericyte_smooth_muscle	TRUE	0.146296296296296	0.236366403444093	TRUE	Loop/TAL-associated	supports_loop_tal_context	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	known_transport_or_calcium_or_TAL_marker	robust	moderate_context_support	supports_robust_loop_tal_context	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
CLDN14	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	yes	calcium/ion handling / claudin biology	current_curated_exemplar;MAGMA;coloc_resource_row	15	6.0864e-12	7.02614016e-09	yes	KSD_L035	""	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	yes	MAGMA-prioritized gene; curated biological exemplar for role-spectrum interpretation	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_exemplar_status_is_treated_as_priority_evidence	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence. Curated exemplar flag retained but does not upgrade genetic or TWAS level.	Pericyte_smooth_muscle	TRUE	0.0222222222222222	0.0232851765459649	TRUE	non_epithelial_or_contextual	does_not_support_loop_tal_single_gene_context	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	known_transport_or_calcium_or_TAL_marker	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
CPNE8	G1_MAGMA_Bonferroni	T0_no_TWAS_FDR_support	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	67	1.8327e-07	4.73657211940299e-05	yes	NA_not_found	NA_not_found	0.595866336040236	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. No FDR-supported Kidney_Cortex proxy TWAS support. SMR/coloc remains unsupported; missing evidence is not negative evidence.	""				FALSE	not_detected	not_resolved	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
CRHR1	G1_MAGMA_Bonferroni	T2_one_snp_Kidney_Cortex_proxy	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	claim_2_MAGMA_plus_proxy_TWAS	no	not_curated_exemplar	MAGMA;TWAS_FDR	50	6.0409e-08	2.05765009411765e-05	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027	""	6.84154826796491e-05	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_2_bonferroni_one_snp_twas	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.	Pericyte_smooth_muscle	FALSE	0	0	TRUE	non_epithelial_or_contextual	does_not_support_loop_tal_single_gene_context	Stage 4B1 snRNA context is descriptive and does not upgrade causal status.	partial_support	not_flagged_driver	robust	not_resolved	do_not_use_for_main_loop_tal_claim	Stage 4B2 robustness is module-level context evidence; it does not upgrade genes to causal status.
