gene	genetic_priority_level	twas_proxy_level	reporting_group	claim_strength_level	curated_exemplar_flag	biological_role_label	source_category	magma_rank	magma_p	magma_fdr	bonferroni_significant	gwas_locus	lead_snp	twas_fdr	twas_reference_tissue	twas_model_snp_count	twas_interpretation	smr_status	coloc_status	known_kidney_transport_or_calcium_gene	allowed_claim	disallowed_claim	overclaim_risk	decision_rule_applied	decision_notes
ATG16L1	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	65	1.5922e-07	4.2416208e-05	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
ATP6V1G2	G1_MAGMA_Bonferroni	T0_no_TWAS_FDR_support	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	81	1.1882e-06	0.000254010755555556	yes	NA_not_found	NA_not_found	0.819162150220141	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. No FDR-supported Kidney_Cortex proxy TWAS support. SMR/coloc remains unsupported; missing evidence is not negative evidence.
BAG6	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	75	6.8111e-07	0.0001572546768	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
BNIP1	G1_MAGMA_Bonferroni	T0_no_TWAS_FDR_support	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	68	2.6597e-07	6.77284782352941e-05	yes			0.163098348511685	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. No FDR-supported Kidney_Cortex proxy TWAS support. SMR/coloc remains unsupported; missing evidence is not negative evidence.
C19orf48P	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	36	8.4939e-09	4.0855659e-06	yes	KSD_L028;KSD_L029		NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
C6orf48	G4_no_MAGMA_support	T2_one_snp_Kidney_Cortex_proxy	R5_TWAS_proxy_only	claim_3_contextual_or_supplementary	no	not_curated_exemplar	TWAS_FDR	NA_not_found	NA_not_found	NA_not_found	no	NA_not_found	NA_not_found	0.000154176815038531	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	supplementary Kidney_Cortex proxy TWAS signal	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_5_twas_proxy_only	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
CASR	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	yes	calcium sensing	current_curated_exemplar;MAGMA;coloc_resource_row	10	1.0453e-12	1.81004148e-09	yes	KSD_L039	rs2202126	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	yes	MAGMA-prioritized gene; curated biological exemplar for role-spectrum interpretation	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_exemplar_status_is_treated_as_priority_evidence	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence. Curated exemplar flag retained but does not upgrade genetic or TWAS level.
CDK12	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA;coloc_resource_row	29	1.8139e-09	1.08308594482759e-06	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
CFDP1	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	91	1.9537e-06	0.0003717612	yes			NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
CHAC1	G3_MAGMA_suggestive_or_module	T1_multi_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	1606	0.029129	0.314070836861768	no	NA_not_found	NA_not_found	0.0365693698553539	GTEx_v8_Kidney_Cortex	2	stronger_proxy_support	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is multi-SNP Kidney_Cortex proxy support only. SMR/coloc remains unsupported; missing evidence is not negative evidence.
CHAF1B	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA;coloc_resource_row	5	9.9198e-14	3.435425136e-10	yes	KSD_L035		NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
CLDN10	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	yes	epithelial transport / TAL tight-junction biology	current_curated_exemplar;MAGMA;coloc_resource_row	19	1.0033e-10	9.14375936842105e-08	yes	KSD_L012;KSD_L013		NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	yes	MAGMA-prioritized gene; curated biological exemplar for role-spectrum interpretation	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_exemplar_status_is_treated_as_priority_evidence	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence. Curated exemplar flag retained but does not upgrade genetic or TWAS level.
CLDN14	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	yes	calcium/ion handling / claudin biology	current_curated_exemplar;MAGMA;coloc_resource_row	15	6.0864e-12	7.02614016e-09	yes	KSD_L035		NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	yes	MAGMA-prioritized gene; curated biological exemplar for role-spectrum interpretation	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_exemplar_status_is_treated_as_priority_evidence	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence. Curated exemplar flag retained but does not upgrade genetic or TWAS level.
CPNE8	G1_MAGMA_Bonferroni	T0_no_TWAS_FDR_support	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	67	1.8327e-07	4.73657211940299e-05	yes	NA_not_found	NA_not_found	0.595866336040236	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. No FDR-supported Kidney_Cortex proxy TWAS support. SMR/coloc remains unsupported; missing evidence is not negative evidence.
CRHR1	G1_MAGMA_Bonferroni	T2_one_snp_Kidney_Cortex_proxy	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	claim_2_MAGMA_plus_proxy_TWAS	no	not_curated_exemplar	MAGMA;TWAS_FDR	50	6.0409e-08	2.05765009411765e-05	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		6.84154826796491e-05	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_2_bonferroni_one_snp_twas	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
DDAH2	G2_MAGMA_FDR_nonBonferroni	T2_one_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	266	0.00037854	0.0246421001503759	no	NA_not_found	NA_not_found	0.0088204776803022	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
DGKD	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	4	4.7129e-14	2.04021441e-10	yes	KSD_L030;KSD_L031;KSD_L032;KSD_L033		NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
DGKH	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	12	3.1566e-12	4.5549738e-09	yes	KSD_L012	rs1170158	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
DHX16	G2_MAGMA_FDR_nonBonferroni	T1_multi_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	278	0.00044038	0.027430288057554	no	NA_not_found	NA_not_found	0.0365693698553539	GTEx_v8_Kidney_Cortex	2	stronger_proxy_support	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is multi-SNP Kidney_Cortex proxy support only. SMR/coloc remains unsupported; missing evidence is not negative evidence.
DNAJB11	G1_MAGMA_Bonferroni	T2_one_snp_Kidney_Cortex_proxy	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	claim_2_MAGMA_plus_proxy_TWAS	no	not_curated_exemplar	MAGMA;TWAS_FDR	72	4.7752e-07	0.00011484356	yes	NA_not_found	NA_not_found	0.000383669070236777	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_2_bonferroni_one_snp_twas	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
DXO	G1_MAGMA_Bonferroni	T0_no_TWAS_FDR_support	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	61	1.4116e-07	4.00709272131148e-05	yes	KSD_L048	rs3134962	0.819162150220141	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. No FDR-supported Kidney_Cortex proxy TWAS support. SMR/coloc remains unsupported; missing evidence is not negative evidence.
DZIP1	G1_MAGMA_Bonferroni	T0_no_TWAS_FDR_support	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	35	7.8452e-09	3.88135666285714e-06	yes	KSD_L012;KSD_L013		0.250566506451096	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. No FDR-supported Kidney_Cortex proxy TWAS support. SMR/coloc remains unsupported; missing evidence is not negative evidence.
F12	G1_MAGMA_Bonferroni	T2_one_snp_Kidney_Cortex_proxy	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	claim_2_MAGMA_plus_proxy_TWAS	no	not_curated_exemplar	MAGMA;TWAS_FDR	80	1.0272e-06	0.00022233744	yes	NA_not_found	NA_not_found	0.00594417103298279	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_2_bonferroni_one_snp_twas	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
FBXL20	G1_MAGMA_Bonferroni	T2_one_snp_Kidney_Cortex_proxy	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	claim_2_MAGMA_plus_proxy_TWAS	no	not_curated_exemplar	MAGMA;TWAS_FDR	30	2.3822e-09	1.37500584e-06	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		3.53486592097157e-05	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_2_bonferroni_one_snp_twas	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
FHL3	G3_MAGMA_suggestive_or_module	T2_one_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	3280	0.094259	0.49761855	no	NA_not_found	NA_not_found	0.0308137941214359	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
